Timestamp,Type,X,Y,Z
2025-11-12 13:19:00.353,G,-0.366211,-0.366211,0
2025-11-12 13:19:00.453,A,-0.0258789,-0.00195312,1
2025-11-12 13:19:00.453,G,-0.366211,-0.305176,0
2025-11-12 13:19:00.553,A,-0.0268555,-0.00195312,1.00049
2025-11-12 13:19:00.553,G,-0.366211,-0.305176,0
2025-11-12 13:19:00.653,A,-0.0268555,-0.00146484,1.00098
2025-11-12 13:19:00.653,G,-0.488281,0,0
2025-11-12 13:19:00.754,A,-0.0273438,-0.00195312,1
2025-11-12 13:19:00.754,G,-0.427246,-0.305176,0
2025-11-12 13:19:00.853,A,-0.027832,-0.00195312,1
2025-11-12 13:19:00.854,G,-0.427246,-0.183105,0
2025-11-12 13:19:00.954,A,-0.027832,-0.00195312,1
2025-11-12 13:19:00.954,G,-0.427246,-0.305176,0
2025-11-12 13:19:01.054,A,-0.0283203,-0.00146484,1.00049
2025-11-12 13:19:01.054,G,-0.366211,-0.366211,0
2025-11-12 13:19:01.154,A,-0.0273438,-0.00195312,1.00049
2025-11-12 13:19:01.154,G,-0.427246,-0.244141,0
2025-11-12 13:19:01.254,A,-0.0288086,-0.00244141,1.00098
2025-11-12 13:19:01.254,G,-0.732422,0.427246,0
2025-11-12 13:19:01.354,A,-0.0307617,-0.00341797,0.999512
2025-11-12 13:19:01.455,A,-0.03125,-0.00292969,1
2025-11-12 13:19:01.455,G,-0.427246,-0.12207,0
2025-11-12 13:19:01.555,A,-0.0307617,-0.00390625,1
2025-11-12 13:19:01.555,G,-0.427246,-0.732422,0
2025-11-12 13:19:01.655,A,-0.0405273,-0.00195312,0.989746
2025-11-12 13:19:01.655,G,-0.427246,-4.3335,0
2025-11-12 13:19:01.755,A,-0.0234375,0.0151367,1.01221
2025-11-12 13:19:01.755,G,8.60596,-3.90625,0
2025-11-12 13:19:01.855,A,-0.0273438,0.0180664,0.996582
2025-11-12 13:19:01.856,G,5.85938,-1.46484,-0.671387
2025-11-12 13:19:01.956,A,-0.0141602,0.0283203,0.999512
2025-11-12 13:19:01.956,G,-3.41797,-1.83105,6.53076
2025-11-12 13:19:02.056,A,-0.0258789,0.046875,1.00586
2025-11-12 13:19:02.056,G,4.08936,-3.41797,-9.58252
2025-11-12 13:19:02.156,A,-0.0151367,0.019043,1.05225
2025-11-12 13:19:02.156,G,1.28174,3.72314,1.2207
2025-11-12 13:19:02.256,A,-0.0117188,-0.117188,1.35107
2025-11-12 13:19:02.256,G,51.5137,-117.126,2.31934
2025-11-12 13:19:02.356,A,0.158203,-0.0400391,1.16504
2025-11-12 13:19:02.356,G,29.9683,-69.0918,-7.50732
2025-11-12 13:19:02.457,A,0.22168,0.0146484,0.944336
2025-11-12 13:19:02.457,G,-16.3574,-56.9458,12.4512
2025-11-12 13:19:02.557,A,0.300293,0.0170898,0.755371
2025-11-12 13:19:02.557,G,-17.1509,-21.9116,8.11768
2025-11-12 13:19:02.657,A,0.301758,-0.0874023,0.825195
2025-11-12 13:19:02.657,G,-27.4658,9.64355,-6.83594
2025-11-12 13:19:02.757,A,0.282715,-0.103027,0.893066
2025-11-12 13:19:02.757,G,-17.5781,15.1367,13.5498
2025-11-12 13:19:02.857,A,0.297852,-0.09375,0.919434
2025-11-12 13:19:02.857,G,9.8877,13.1836,5.18799
2025-11-12 13:19:02.958,A,0.283691,-0.0581055,0.948242
2025-11-12 13:19:02.958,G,-2.62451,6.22559,2.99072
2025-11-12 13:19:03.058,A,0.245605,-0.130859,0.993652
2025-11-12 13:19:03.058,G,-11.4746,0.366211,1.09863
2025-11-12 13:19:03.158,A,0.254883,-0.137207,0.962891
2025-11-12 13:19:03.158,G,-2.68555,-1.2207,-1.28174
2025-11-12 13:19:03.258,A,0.263184,-0.124023,0.942383
2025-11-12 13:19:03.258,G,-0.671387,0.183105,1.34277
2025-11-12 13:19:03.358,A,0.256836,-0.137207,0.948242
2025-11-12 13:19:03.358,G,-1.58691,-2.86865,1.15967
2025-11-12 13:19:03.458,A,0.262695,-0.127441,0.963867
2025-11-12 13:19:03.459,G,-11.6577,3.66211,0
2025-11-12 13:19:03.559,A,0.26416,-0.14502,0.942383
2025-11-12 13:19:03.559,G,-7.87354,-0.427246,0.976562
2025-11-12 13:19:03.659,A,0.269043,-0.118164,0.861816
2025-11-12 13:19:03.659,G,-6.04248,5.24902,2.13623
2025-11-12 13:19:03.759,A,0.23877,-0.241699,0.858398
2025-11-12 13:19:03.759,G,-42.0532,7.93457,-6.95801
2025-11-12 13:19:03.859,A,0.119629,-0.456055,1.19678
2025-11-12 13:19:03.859,G,-438.232,90.6982,13.855
2025-11-12 13:19:03.959,A,0.0371094,-1.02344,0.323242
2025-11-12 13:19:03.960,G,-312.805,61.0352,90.0879
2025-11-12 13:19:04.060,A,-0.0102539,-1.00977,-0.0131836
2025-11-12 13:19:04.060,G,-38.3301,6.46973,-4.57764
2025-11-12 13:19:04.160,A,-0.000488281,-0.992188,0.000488281
2025-11-12 13:19:04.160,G,-14.3433,-0.976562,-15.5029
2025-11-12 13:19:04.260,G,-13.1836,-3.54004,-7.69043
2025-11-12 13:19:04.360,A,0.0273438,-0.989746,-0.0600586
2025-11-12 13:19:04.360,G,-4.08936,-2.13623,-6.16455
2025-11-12 13:19:04.461,A,0.0395508,-0.983398,-0.0825195
2025-11-12 13:19:04.461,G,-1.0376,2.50244,-10.0708
2025-11-12 13:19:04.561,A,0.0405273,-0.989258,-0.0395508
2025-11-12 13:19:04.561,G,-13.7939,-5.18799,0
2025-11-12 13:19:04.661,A,0.0322266,-1,-0.0771484
2025-11-12 13:19:04.661,G,-7.14111,-5.12695,-0.0610352
2025-11-12 13:19:04.761,A,0.0683594,-0.952637,-0.0527344
2025-11-12 13:19:04.761,G,31.0669,4.5166,-8.05664
2025-11-12 13:19:04.861,A,-0.0327148,-1.21289,0.123535
2025-11-12 13:19:04.861,G,529.114,-104.736,-53.772
2025-11-12 13:19:04.961,A,0.249512,0.0429688,0.5625
2025-11-12 13:19:04.961,G,781.372,-41.5649,-126.221
2025-11-12 13:19:05.062,G,335.205,74.8291,-115.417
2025-11-12 13:19:05.162,A,0.0161133,0.964355,0.3125
2025-11-12 13:19:05.162,G,201.477,52.002,-10.376
2025-11-12 13:19:05.262,A,-0.0385742,1.01953,0.22168
2025-11-12 13:19:05.262,G,258.667,-14.1602,-1.2207
2025-11-12 13:19:05.362,A,-0.0415039,1.00391,-0.17627
2025-11-12 13:19:05.362,G,245.728,-11.5356,-23.1323
2025-11-12 13:19:05.462,G,61.5845,0.366211,17.334
2025-11-12 13:19:05.563,A,0.0566406,0.70166,-0.76416
2025-11-12 13:19:05.563,G,20.813,1.58691,10.0708
2025-11-12 13:19:05.663,A,0.0654297,0.661621,-0.752441
2025-11-12 13:19:05.663,G,21.5454,-0.854492,0.366211
2025-11-12 13:19:05.763,A,0.0771484,0.655273,-0.730957
2025-11-12 13:19:05.763,G,-15.564,9.39941,-9.46045
2025-11-12 13:19:05.863,A,0.0610352,0.76709,-0.771973
2025-11-12 13:19:05.863,G,-27.1606,73.8525,-23.3154
2025-11-12 13:19:05.963,A,0.208496,0.478027,-0.989258
2025-11-12 13:19:05.963,G,-96.6797,106.14,-120.117
2025-11-12 13:19:06.064,A,0.0288086,0.891113,-0.192871
2025-11-12 13:19:06.064,G,93.75,42.7856,-49.0723
2025-11-12 13:19:06.164,A,-0.0473633,0.679199,-0.428711
2025-11-12 13:19:06.164,G,113.708,-2.56348,-64.0259
2025-11-12 13:19:06.264,A,-0.299316,0.693359,-0.666504
2025-11-12 13:19:06.264,G,11.8408,-21.7896,-125.488
2025-11-12 13:19:06.364,A,-0.469238,0.620605,-0.695801
2025-11-12 13:19:06.364,G,41.626,-112.427,-110.474
2025-11-12 13:19:06.464,A,-0.523926,0.338867,-0.667969
2025-11-12 13:19:06.464,G,90.271,-29.2358,-82.0923
2025-11-12 13:19:06.565,A,-0.526855,0.218262,-0.79248
